attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_21,attr_22,attr_23,attr_24,attr_25,attr_26,attr_27,attr_28,attr_29,attr_30,attr_31,attr_32,attr_33,attr_34,attr_35,attr_36,attr_37,attr_38,attr_39,attr_40,attr_41,attr_42,attr_43,attr_44,attr_45,attr_46,attr_47,attr_48,attr_49,attr_50,attr_51,attr_52,attr_53,attr_54,attr_55,attr_56,attr_57,attr_58,attr_59,attr_60,attr_61,attr_62,attr_63,attr_64,attr_65,attr_66,attr_67,attr_68,attr_69,attr_70,attr_71,attr_72,attr_73,attr_74,attr_75,attr_76,class
0,2.4269,4.4752,5.4705,12.503,-8.7261,3.3313,4.6791,24.366,15.768,12.301,17.057,0,0,0,0,0,0,0,0,0.64416,1.3433,8.1204,-5.8863,2.4436,3.5024,19.772,12.05,1.9454,12.322,29.915,22.42,35.991,0,-0.058697,0,0,0,0,0.64416,3.6702,8.1204,3.423,2.4436,17.025,19.772,12.05,1.1624,26.34,31.05,22.488,36.482,0,0,0,0,0,0,0.64416,3.6702,8.1204,10.874,-6.9615,3.5024,4.8274,22.695,15.223,3.0732,6.7632,37.253,30.214,0,0,0,0,0,B
0,0.64416,1.3433,4.766,-5.8863,2.4436,17.025,19.772,12.05,1.9454,3.0135,16.999,28.672,0,-0.058697,0,0,0,0,0,0.64416,3.6702,4.766,12.503,4.8425,3.3313,21.492,12.538,9.4169,2.1463,-1.5984,29.222,0,-0.058697,0,0,0,0,0,0.65873,4.4752,6.1749,14.133,2.0494,20.546,10.348,-0.025737,-1.622,26.231,17.115,0,0,0,0,0,0,0,0,2.4269,0.35486,9.1563,4.1978,1.0892,9.6311,13.536,0,0,0,0,0,0,0,0,0,0,0,C
0,0.64416,3.6702,4.766,10.874,3.8793,3.5024,19.772,22.695,15.768,2.2114,5.9684,38.463,30.293,0,0,0,0,0,0,0.64416,3.6702,-0.01688,10.874,2.4436,3.5024,19.772,26.036,0.37945,1.2791,32.184,22.557,0,0,0,0,0,0,0,2.4269,5.5839,0.38216,1.1375,17.946,8.1465,-0.08836,-0.025737,-1.622,13.16,17.115,0,-0.058697,0,0,0,0,0,0,0.64416,5.5839,-4.7197,1.5912,2.4436,17.025,9.4815,1.3719,22.017,24.126,16.999,29.222,36.482,0,0,0,0,0,D
0,0.64416,3.6702,4.766,0.5731,13.824,3.5024,19.772,12.05,15.223,3.0732,29.24,22.42,35.991,0,-0.058697,0,0,0,0,0.64416,3.6702,8.1204,-5.8863,2.4436,3.5024,19.772,12.05,0.27747,13.066,23.696,0,-0.058697,0,0,0,0,0,0,0.64416,3.6702,-4.7197,3.423,2.4436,7.3805,1.1321,-1.7135,19.429,13.066,24.312,0,-0.058697,0,0,0,0,0,0,0.64416,3.6702,4.766,10.874,-6.9615,4.331,4.8274,22.695,15.223,12.322,6.7632,22.42,35.991,0,-0.058697,0,0,0,E
0,0.64416,3.6702,4.766,-5.8863,2.4436,3.5024,19.772,12.05,15.768,2.2114,5.9684,38.463,30.293,0,-0.058697,0,0,0,0,2.4269,-0.42669,2.4571,1.1375,17.946,20.546,10.348,-0.025737,24.465,26.231,17.115,29.772,0,-0.058697,0,0,0,0,0,0.64416,3.6702,4.766,-5.8863,2.4436,20.546,23.212,13.025,0.37945,1.2791,17.115,22.557,0,0,0,0,0,0,0,2.4269,5.5839,0.9042,1.5912,17.946,20.546,23.212,13.025,9.3843,26.231,17.115,29.772,0,0,0,0,0,0,F
0,0.64416,3.6702,8.1204,-5.8863,2.4436,3.5024,19.772,12.05,1.9454,2.2114,5.9684,38.463,30.293,0,0,0,0,0,0,2.4269,5.2801,11.206,14.133,2.0494,3.1603,23.212,13.025,0.37945,1.2791,32.184,29.772,0,0,0,0,0,0,0,2.4269,5.5839,-4.7197,3.4731,2.4436,3.5024,19.772,26.036,0.37945,12.28,32.184,22.557,0,0,0,0,0,0,0,0.64416,3.6702,2.4571,1.5912,14.366,7.3805,1.1321,7.2542,0.27747,24.126,23.696,29.222,0,-0.058697,0,0,0,0,G
0,0.64416,3.6702,8.1204,-5.8863,2.4436,3.5024,19.772,12.05,1.9454,25.191,6.7632,22.42,35.991,0,-0.058697,0,0,0,0,0.64416,3.6702,8.1204,1.5912,2.4436,17.025,9.4815,13.025,0.37945,26.231,17.115,0,-0.058697,0,0,0,0,0,0,0.65873,1.3726,2.1701,6.356,15.524,-9.639,4.6791,6.3772,27.547,2.2114,16.165,38.463,30.293,0,0,0,0,0,0,0.64416,3.6702,4.766,10.874,-6.9615,3.5024,19.772,12.05,1.9454,2.1463,31.05,22.488,30.293,0,0,0,0,0,H
0,3.281,5.5839,-4.7197,1.5912,2.4436,17.025,19.772,12.05,15.223,3.0732,6.7632,37.253,0,0,0,0,0,0,0,3.281,5.5839,-4.7197,1.5912,2.4436,17.025,19.772,12.05,15.223,3.0732,6.7632,37.253,0,0,0,0,0,0,0,0.64416,3.6702,8.1204,-5.8863,2.4436,17.025,9.4815,1.3719,0.27747,13.066,17.115,29.772,0,-0.058697,0,0,0,0,0,2.4269,3.6702,9.6635,1.3643,2.2465,18.785,9.915,0.67308,1.1624,25.178,31.05,22.488,36.482,0,-0.058697,0,0,0,I
0,0.64416,3.6702,0.9042,1.5912,14.366,18.785,9.915,-2.7552,10.157,20.825,0,-0.058697,0,0,0,0,0,0,0,0.64416,1.3433,8.1204,-5.8863,3.8793,3.5024,19.772,12.05,15.223,3.0732,6.7632,37.253,30.214,0,-0.058697,0,0,0,0,0.64416,3.6702,8.1204,1.5912,2.2465,18.785,21.492,12.538,1.1624,2.2114,17.057,22.488,36.482,0,-0.058697,0,0,0,0,0.64416,3.6702,8.1204,-5.8863,3.8793,3.5024,19.772,12.05,1.9454,3.0135,17.057,22.488,36.482,0,-0.058697,0,0,0,J
0,0.64416,3.6702,2.4571,1.5912,14.366,17.025,10.348,-0.025737,-1.622,13.16,17.115,29.772,0,-0.058697,0,0,0,0,0,0.64416,3.6702,8.1204,3.423,2.4436,17.025,9.4815,1.3719,0.27747,24.126,16.999,29.222,36.482,0,-0.058697,0,0,0,0,2.4269,-0.42669,-4.7197,1.5912,14.366,7.3805,17.071,-2.7552,20.394,13.113,24.312,0,-0.058697,0,0,0,0,0,0,0.64416,3.6702,-4.7197,1.5912,2.4436,17.025,21.492,12.538,1.1624,26.34,31.05,22.488,0,-0.058697,0,0,0,0,A
0,0.64416,3.6702,2.4571,1.5912,2.4436,18.785,21.492,12.538,1.1624,25.178,17.057,0,-0.058697,0,0,0,0,0,0,0.64416,1.3433,4.766,10.874,4.6687,3.5024,19.772,12.05,1.9454,3.0135,31.05,29.222,0,-0.058697,0,0,0,0,0,2.4269,-0.42669,0.38216,1.1375,17.946,8.1465,10.348,-0.025737,0.37945,1.2791,17.115,29.772,0,-0.058697,0,0,0,0,0,0.64416,1.3433,4.766,10.874,-6.9615,3.5024,4.8274,22.695,15.223,19.193,29.24,37.253,30.214,0,-0.058697,0,0,0,B
0,0.64416,1.3433,4.766,10.874,-6.9615,3.5024,4.8274,22.695,15.223,3.0732,5.9684,38.463,30.293,0,-0.058697,0,0,0,0,0.64416,1.3433,4.766,10.874,-6.9615,3.5024,19.772,12.05,1.9454,25.191,29.915,22.42,35.991,0,-0.058697,0,0,0,0,0.65873,4.4752,9.6635,-7.6086,2.0494,20.546,-0.08836,-3.7968,10.192,0,0,0,0,0,0,0,0,0,0,0.64416,3.6702,-4.7197,1.5912,5.6455,4.675,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0.64416,3.6702,-4.7197,1.5912,14.366,17.025,10.348,13.025,0.37945,1.2791,17.115,29.772,0,-0.058697,0,0,0,0,0,0.64416,3.6702,-4.7197,1.5912,2.4436,17.025,9.4815,1.3719,0.27747,26.231,17.115,29.772,0,-0.058697,0,0,0,0,0,2.4269,5.5839,0.9042,1.5912,16.156,18.785,10.348,-0.025737,24.465,26.231,17.115,22.557,0,-0.058697,0,0,0,0,0,0.64416,3.6702,-0.01688,10.874,2.4436,17.025,9.4815,1.3719,19.429,13.066,24.312,0,0,0,0,0,0,0,D
