attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,class
0,18.889,21.716,24.667,27.705,9.059,11.999,15.316,7.6612,9.775,12.553,23.377,28.683,29.111,55.262,0,-0.35218,0,0,H
0,27.078,29.927,1.9483,9.2154,18.872,4.6997,6.0138,9.463,42.274,44.902,0,0,0,0,0,0,0,0,I
0,-5.7873,-12.546,1.9483,2.0923,3.0676,4.2069,6.0138,7.6612,4.249,12.243,12.659,21.524,29.111,40.6,0,0,0,0,J
0,23.394,26.345,29.29,2.7255,25.557,31.039,6.0138,9.4172,43.711,44.986,45.193,21.524,29.111,40.819,0,0,0,0,A
0,0.61502,1.2553,3.4292,18.482,15.216,16.731,18.362,7.6612,18.798,23.378,28.857,33.96,39.646,0,0,0,0,0,B
0,3.6569,1.2553,1.9483,2.7255,12.019,4.6997,6.0138,7.6612,9.775,19.163,24.716,30.355,48.996,47.12,0,-0.17609,0,0,C
0,13.023,1.2553,1.9483,3.6235,3.626,4.6997,24.204,7.6612,9.775,14.041,17.86,0,0,0,0,0,0,0,D
0,0.61502,1.2553,1.9483,2.7255,3.626,4.6997,-6.4745,7.6612,9.775,11.655,15.487,20.779,28.767,38.569,0,0,0,0,E
0,-3.271,-0.47467,1.9483,2.7255,3.626,1.527,5.0774,1.421,8.6609,11.219,15.698,20.973,26.574,0,-0.11739,0,0,0,F
0,31.716,34.085,36.168,34.434,34.102,31.78,31.233,25.497,27.326,28.025,23.017,26.436,32.305,43.941,0,-0.88046,0,0,G
0,13.023,15.366,17.917,8.1131,10.64,4.6997,13.29,8.9742,9.775,12.553,16.301,26.372,34.096,52.688,0,0,0,0,H
0,22.205,25.148,1.9483,2.7255,3.626,33.568,11.039,11.122,39.846,12.553,16.301,0,0,0,0,0,0,0,I
0,-1.4042,0.073016,0.39292,2.7255,-0.76263,4.3489,-0.17178,5.7457,8.3159,11.466,14.738,20.638,28.301,40.369,0,0,0,0,J
0,0.61502,1.2553,-17.875,-14.99,3.626,4.6997,6.0138,-1.8061,9.775,7.1655,12.638,21.524,29.111,40.819,0,0,0,0,A
0,0.61502,1.2553,-11.088,-6.398,2.1524,3.3918,2.5275,4.5554,6.9966,12.553,16.301,19.798,27.518,40.521,0,-0.058697,0,0,B
0,8.7735,1.2553,1.9483,2.7255,5.5954,4.6997,11.803,7.6612,9.775,12.553,16.301,21.524,37.032,43.569,0,0,0,0,C
0,0.61502,1.2553,1.9483,2.7255,-3.742,4.6997,6.0138,4.0378,3.7551,12.553,16.301,21.524,28.474,40.819,0,0,0,0,D
0,0.61502,1.2553,1.9483,2.7255,3.626,4.6997,4.8517,7.6612,7.4597,11.303,15.924,21.179,28.474,39.033,0,-0.058697,0,0,E
0,0.61502,1.2553,1.9483,2.7255,3.626,4.6997,6.0138,7.6612,9.775,12.553,16.301,21.524,26.881,39.926,0,-0.088046,0,0,F
0,0.61502,-16.432,-13.881,2.7255,1.4156,4.6997,6.0138,7.6612,9.775,12.553,16.301,20.834,28.793,40.819,0,0,0,0,G
0,28.299,31.066,33.655,36.027,38.172,4.6997,6.0138,11.273,45.792,17.908,48.006,21.524,32.519,40.819,0,0,0,0,H
0,22.205,25.148,1.9483,18.319,8.1772,9.5111,6.0138,11.122,43.384,12.553,16.301,21.524,32.711,0,0,0,0,0,I
0,-11.207,-7.1213,0.22428,2.7255,-0.33776,2.381,4.9941,4.5124,6.9869,11.313,15.192,21.238,28.722,0,0,0,0,0,J
0,-1.0738,0.26985,-3.6547,-4.8166,2.3047,3.2505,4.9941,4.0626,7.7835,10.604,15.351,20.953,28.592,40.342,0,-0.088046,0,0,A
0,0.61502,27.515,19.901,2.7255,3.626,4.6997,6.0138,13.073,27.682,30.23,18.04,35.165,40.813,0,-0.90981,0,0,0,B
0,0.61502,1.8627,6.09,2.7255,3.626,9.5844,11.407,14.735,25.073,18.005,20.626,26.051,35.368,45.641,0,0,0,0,C
0,31.716,34.085,36.168,37.957,39.481,39.001,40.24,39.766,39.611,40.059,39.805,41.172,48.277,0,0,0,0,0,D
